Date,MSCI World
12/1978,10000
01/1979,10255.476547303975
02/1979,10058.352731099136
03/1979,10479.130129779025
04/1979,10463.122987149643
05/1979,10281.241031854852
06/1979,10577.532604189917
07/1979,10656.165300851375
08/1979,11083.001179809316
09/1979,11330.952456873187
10/1979,10486.910493925576
11/1979,10807.94617518574
12/1979,11095.309460795255
01/1980,11762.061158764069
02/1980,11766.397755173624
03/1980,10498.963681005069
04/1980,11184.783648480596
05/1980,11733.809508625362
06/1980,12294.314594560123
07/1980,12670.00414527598
08/1980,12915.468256752014
09/1980,13301.297790249035
10/1980,13686.680909409775
11/1980,14256.94333726603
12/1980,13943.688020152422
01/1981,13535.920410701188
02/1981,13573.419214948502
03/1981,14054.079908166193
04/1981,14058.990465865247
05/1981,13782.659991709448
06/1981,13757.023054111794
07/1981,13522.719301042696
08/1981,13254.551831893115
09/1981,12256.36937597653
10/1981,12629.954401964225
11/1981,13566.595452951116
12/1981,13276.426134370715
01/1982,13079.110997736041
02/1982,12284.939893498293
03/1982,11947.386881795861
04/1982,12531.615701029941
05/1982,12213.449826217276
06/1982,11659.449634896846
07/1982,11507.222346226205
08/1982,12339.593762953988
09/1982,12394.438952839513
10/1982,13243.455246962787
11/1982,13942.221230190364
12/1982,14565.351870157201
01/1983,14873.441535665315
02/1983,15182.806670705653
03/1983,15714.231051305764
04/1983,16833.200471923723
05/1983,16665.476228436593
06/1983,17185.931571059595
07/1983,16876.63020949587
08/1983,16964.510060265933
09/1983,17305.18797232231
10/1983,17098.88077548548
11/1983,17537.769841522906
12/1983,17759.25512579318
01/1984,17903.702050317268
02/1984,17605.433500207262
03/1984,18430.917381461048
04/1984,18360.957877618697
05/1984,16981.856445904148
06/1984,17125.729409138738
07/1984,16520.519116099615
08/1984,18175.31328720385
09/1984,18103.249258633332
10/1984,18293.23044545773
11/1984,18221.166416887216
12/1984,18597.17483498613
01/1985,19619.017250725425
02/1985,19652.49832594624
03/1985,20329.64510060266
04/1985,20268.74143043908
05/1985,21305.18797232231
06/1985,21679.98469436561
07/1985,22121.87111380377
08/1985,22297.69458882051
09/1985,22458.595070310257
10/1985,23661.490386148398
11/1985,24978.030037307482
12/1985,26141.0669302637
01/1986,26521.348171295558
02/1986,28904.307898345076
03/1986,31721.9476419757
04/1986,32586.333343962244
05/1986,32484.168234431298
06/1986,33779.152450495836
07/1986,34041.96294761009
08/1986,37007.684703931634
09/1986,35527.82117917159
10/1986,34908.325627371574
11/1986,36375.8808711457
12/1986,37091.48305219859
01/1987,41438.72963234591
02/1987,42794.93638595709
03/1987,45434.648129842804
04/1987,48088.32626510634
05/1987,48144.44692452409
06/1987,48105.60887726795
07/1987,49055.70613181978
08/1987,51944.1344344887
09/1987,51028.28353687701
10/1987,42352.3484582762
11/1987,41309.84343611492
12/1987,43086.89136188259
01/1988,44125.697522400435
02/1988,46673.894327349255
03/1988,48070.53346513185
04/1988,48664.00943847454
05/1988,47678.58167788017
06/1988,47599.693887312256
07/1988,48481.93616274991
08/1988,45805.49089633621
09/1988,47735.72271292369
10/1988,50899.65243455246
11/1988,52658.142278626314
12/1988,53120.49998405663
01/1989,55028.8574981665
02/1989,54668.91999617358
03/1989,54304.19948343484
04/1989,55542.99926660502
05/1989,54166.9589617678
06/1989,53541.34115621313
07/1989,59576.79920920889
08/1989,58120.404323841714
09/1989,59746.56420394758
10/1989,57739.03893370747
11/1989,60028.825611428205
12/1989,61942.986511909694
01/1990,59034.78843149134
02/1990,56487.42068173846
03/1990,53059.915181276105
04/1990,52278.56254583719
05/1990,57767.03548993973
06/1990,57338.47772711329
07/1990,57843.69120882625
08/1990,52411.84911195435
09/1990,46867.446828863875
10/1990,51224.578297885906
11/1990,50365.23070055164
12/1990,51401.677242434875
01/1991,53263.288798188834
02/1991,58175.69592806351
03/1991,56443.289435923594
04/1991,56867.064188004195
05/1991,58138.133350339594
06/1991,54531.48815407672
07/1991,57089.314753993815
08/1991,56890.27773349064
09/1991,58364.52919230892
10/1991,59293.19855871943
11/1991,56691.4320334173
12/1991,60800.102037562574
01/1992,59656.57982844934
02/1992,58609.355569018844
03/1992,55830.49009916776
04/1992,56590.542393418575
05/1992,58823.50690347884
06/1992,56834.73103536239
07/1992,56961.25761295877
08/1992,58327.668122827716
09/1992,57774.24189279678
10/1992,56190.81024202034
11/1992,57178.406300819486
12/1992,57622.52479193903
01/1993,57797.965626096106
02/1993,59149.83578329773
03/1993,62561.78055546699
04/1993,65444.02283090462
05/1993,66934.9191671184
06/1993,66356.17486687287
07/1993,67706.00427282293
08/1993,70792.83186122891
09/1993,69467.93788463378
10/1993,71365.51768119639
11/1993,67311.75664041325
12/1993,70589.01182997992
01/1994,75228.27715952935
02/1994,74238.13016166574
03/1994,71020.94958706673
04/1994,73199.77041548419
05/1994,73371.51238799783
06/1994,73150.98370587673
07/1994,74524.91948598578
08/1994,76752.27193010425
09/1994,74718.66330793023
10/1994,76826.88689773923
11/1994,73477.82277350851
12/1994,74172.1246133733
01/1995,73040.97445872262
02/1995,74088.07117119989
03/1995,77641.08287363285
04/1995,80328.94359235994
05/1995,80997.92736201013
06/1995,80954.81649182105
07/1995,84987.08587098627
08/1995,83075.4121360926
09/1995,85477.12126526577
10/1995,84112.94282707821
11/1995,87015.14620069513
12/1995,89540.83096840026
01/1996,91142.11919262778
02/1996,91678.45413092694
03/1996,93185.03874238706
04/1996,95357.09958228373
05/1996,95420.42664455852
06/1996,95883.80472561464
07/1996,92475.94145594847
08/1996,93519.65817416536
09/1996,97161.8889703772
10/1996,97820.92407767609
11/1996,103283.37744332131
12/1996,101609.89764357005
01/1997,102815.40767194922
02/1997,103978.69965881191
03/1997,101902.55412773826
04/1997,105214.05567424507
05/1997,111689.04052804438
06/1997,117240.39412008545
07/1997,122620.96234176208
08/1997,114398.90309620228
09/1997,120594.56012244507
10/1997,114228.05395236121
11/1997,116229.96715665954
12/1997,117627.05270877841
01/1998,120885.55849622142
02/1998,129043.206530404
03/1998,134472.43391473484
04/1998,135766.333981697
05/1998,134044.57766015115
06/1998,137205.44625490258
07/1998,136964.9564746022
08/1998,118679.76148719747
09/1998,120758.33041038229
10/1998,131654.1564363381
11/1998,139462.8997799815
12/1998,146255.15767992093
01/1999,149436.4337871879
02/1999,145440.0051018781
03/1999,151474.3152322949
04/1999,157424.38060010842
05/1999,151650.71266860113
06/1999,158702.6561653008
07/1999,158205.15927425784
08/1999,157902.42658078505
09/1999,156349.86129268835
10/1999,164455.4701699563
11/1999,169060.68046299543
12/1999,182723.7014125825
01/2000,172238.76789643188
02/2000,172682.63129364495
03/2000,184596.79219412646
04/2000,176770.44737093843
05/2000,172274.0984024744
06/2000,178053.5697203533
07/2000,173019.86543796436
08/2000,178626.51063422722
09/2000,169107.49019482796
10/2000,166253.37202257582
11/2000,156138.7710851057
12/2000,158643.7294729122
01/2001,161698.67032301266
02/2001,148015.30563438666
03/2001,138268.35878957942
04/2001,148460.69959503843
05/2001,146526.13118204137
06/2001,141914.67108829436
07/2001,140017.79279997447
08/2001,133276.4261343707
09/2001,121514.87516341952
10/2001,123835.20933643696
11/2001,131142.50183348745
12/2001,131953.63668250374
01/2002,127942.60387105003
02/2002,126817.32087624757
03/2002,132403.62233347152
04/2002,127903.25563598101
05/2002,128116.5141417684
06/2002,120321.03568126015
07/2002,110168.61707215969
08/2002,110356.74882816237
09/2002,98206.43474379006
10/2002,105442.6835878958
11/2002,111111.6992442843
12/2002,105713.21067567998
01/2003,102491.69350467142
02/2003,100697.93692803163
03/2003,100365.5495679347
04/2003,109259.78125697521
05/2003,115480.37371257291
06/2003,117464.43034342017
07/2003,119836.03839163292
08/2003,122410.38232199225
09/2003,123147.09352380344
10/2003,130442.58792768087
11/2003,132414.14495711232
12/2003,140711.26558464332
01/2004,142969.10175058196
02/2004,145363.1580625618
03/2004,144398.58422881927
04/2004,141441.08925098053
05/2004,142729.75989286054
06/2004,145659.8322757565
07/2004,140904.05280443863
08/2004,141523.3570358088
09/2004,144200.63135741843
10/2004,147729.28159178596
11/2004,155489.68464015814
12/2004,161425.20965530435
01/2005,157790.82299671567
02/2005,162789.3243200153
03/2005,159629.34855393643
04/2005,156151.14313956822
05/2005,158925.54446605657
06/2005,160300.6919422212
07/2005,165900.25828258027
08/2005,167150.34597111066
09/2005,171491.85293836292
10/2005,167331.27132425626
11/2005,172906.66751697965
12/2005,176737.3489365773
01/2006,184629.25289372148
02/2006,184354.38920952778
03/2006,188408.1502503109
04/2006,194128.37600841813
05/2006,187497.14613692166
06/2006,187442.1734000829
07/2006,188611.97028155992
08/2006,193507.7963075157
09/2006,195815.12069130447
10/2006,203002.07263798986
11/2006,207973.21513982335
12/2006,212201.52418609103
01/2007,214706.61012085073
02/2007,213589.36258410127
03/2007,217499.1868881732
04/2007,227091.29173176875
05/2007,233454.290360639
06/2007,231653.5824750486
07/2007,226523.2613755939
08/2007,226351.45562960365
09/2007,237115.65319983417
10/2007,244388.38047256146
11/2007,234398.83932272566
12/2007,231374.764835305
01/2008,213693.24957750068
02/2008,212456.42677210545
03/2008,210420.01211696054
04/2008,221479.22578999394
05/2008,224856.41401741016
06/2008,206922.54711265583
07/2008,201866.52211345301
08/2008,199030.9620228947
09/2008,175358.63014572236
10/2008,142110.45566149038
11/2008,132911.83316858514
12/2008,137176.11045566146
01/2009,125158.70029654667
02/2009,112347.56544753036
03/2009,120819.55294792895
04/2009,134373.0110646982
05/2009,146548.00548451897
06/2009,145886.86585249193
07/2009,158243.0407193648
08/2009,164771.34019961098
09/2009,171338.86036797296
10/2009,168290.55195944005
11/2009,175167.37348936577
12/2009,178312.87267625393
01/2010,170943.018398648
02/2010,173352.76298587414
03/2010,184088.58135901278
04/2010,184114.40961704028
05/2010,166478.4286215363
06/2010,160770.51114441504
07/2010,173804.66184114027
08/2010,167315.6468224865
09/2010,182917.1263671439
10/2010,189735.46761901723
11/2010,185639.1696693345
12/2010,199288.35177449696
01/2011,203790.6316762858
02/2011,210925.92710691624
03/2011,208845.8276202927
04/2011,217718.12123337903
05/2011,213201.4922993527
06/2011,209828.70444182263
07/2011,206024.04260068235
08/2011,191508.17894837537
09/2011,174967.50741366664
10/2011,193065.5910206945
11/2011,188351.7744969867
12/2011,188247.12222186793
01/2012,197693.95108574344
02/2012,207351.04110200566
03/2012,210016.83619782532
04/2012,207631.89949300085
05/2012,189708.30011798092
06/2012,199374.95615573484
07/2012,201938.012180734
08/2012,207057.49178916487
09/2012,212746.085902873
10/2012,211308.44041962948
11/2012,214014.22148528427
12/2012,218039.02936768596
01/2013,229145.81805427122
02/2013,229524.18609100475
03/2013,234900.4177162718
04/2013,242297.6308153439
05/2013,242389.14575428073
06/2013,236416.56834922355
07/2013,248862.91891202447
08/2013,243565.89394470843
09/2013,255747.2657121903
10/2013,265758.1072032142
11/2013,270481.04333407735
12/2013,276204.33021906187
01/2014,265974.1717419725
02/2014,279289.1170562163
03/2014,279693.3133509773
04/2014,282559.2933898791
05/2014,288118.6186664966
06/2014,293272.79104620387
07/2014,288592.3918242403
08/2014,294951.56404451386
09/2014,286946.2708459552
10/2014,288802.5254296738
11/2014,294590.3510729887
12/2014,289840.05612065946
01/2015,284588.24654826056
02/2015,301261.8857817034
03/2015,296546.09228022065
04/2015,303500.84499856504
05/2015,304546.3473741271
06/2015,297464.94053123303
07/2015,302804.43863397214
08/2015,282766.4934153885
09/2015,272336.78772998316
10/2015,293917.9235356015
11/2015,292455.47016995633
12/2015,287314.8815407672
01/2016,270126.46280411974
02/2016,268116.0677274322
03/2016,286310.13041675964
04/2016,290840.5981952106
05/2016,292474.09202512674
06/2016,289196.8368355601
07/2016,301414.94212557
08/2016,301665.44434169825
09/2016,303267.88048850483
10/2016,297398.74366251077
11/2016,301675.07413666655
12/2016,308893.657727751
01/2017,316348.8409170626
02/2017,325125.4743152323
03/2017,328588.6929625969
04/2017,333454.03526673256
05/2017,340508.0832881605
06/2017,341818.1818181818
07/2017,349998.72453046776
08/2017,350491.5659577182
09/2017,358358.08807117125
10/2017,365130.5124198846
11/2017,373041.9948343484
12/2017,378086.85947514424
01/2018,398049.87085870985
02/2018,381559.707917477
03/2018,373243.0726061031
04/2018,377532.03022862785
05/2018,379897.83489046915
06/2018,379716.59066994034
07/2018,391576.48034182575
08/2018,396421.415133446
09/2018,398628.7427059086
10/2018,369358.3112783393
11/2018,373554.1596250119
12/2018,345149.8357832977
01/2019,372004.52791683935
02/2019,383190.6508083288
03/2019,388223.65358247503
04/2019,401989.7962437422
05/2019,378794.617518574
06/2019,403755.23739676666
07/2019,405755.1736232901
08/2019,397455.6296036478
09/2019,405913.905806575
10/2019,416243.3595867479
11/2019,427835.84707120305
12/2019,440653.04040049744
01/2020,437970.91929466533
02/2020,400951.30895060743
03/2020,347888.332642454
04/2020,385893.11565319984
05/2020,404534.93192181375
06/2020,415235.2922419566
07/2020,435100.7302063072
08/2020,464171.678199037
09/2020,448158.15822199546
10/2020,434410.89250980515
11/2020,489955.3585663723
12/2020,510727.8466885622
01/2021,505651.92436465673
02/2021,518608.90915468254
03/2021,535864.0987213418
04/2021,560803.2907113931
05/2021,568881.9234080545
06/2021,577360.989764357
07/2021,587703.198239852
08/2021,602330.1552884155
09/2021,577321.0675679985
10/2021,610020.8539268518
11/2021,596653.4868148337
12/2021,622154.5231338287
01/2022,589235.8024297694
02/2022,574333.2801887695
03/2022,590094.9587066738
04/2022,541073.7540257007
05/2022,541483.5623864034
06/2022,494579.1907145818
07/2022,533846.9436561333
08/2022,511527.94872612477
09/2022,463976.40381365386
10/2022,497295.87704473705
11/2022,531873.090781544
